complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
9201	PARP2-SMAD4 complex	Human	25133494	HaCaT cells	MI:0019:coimmunoprecipitation;MI:0813:proximity ligation assay	2	Q9UGN5;Q13485	PARP2;SMAD4	35	35	13	22	GO:0005634;GO:0006355;GO:0010468;GO:0042127;GO:0070212;GO:0071559	nucleus;regulation of DNA-templated transcription;regulation of gene expression;regulation of cell population proliferation;protein poly-ADP-ribosylation;response to transforming growth factor beta	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	TGFbeta induces formation of endogenous complexes between Smads and PARP-1/2 in HaCaT cells. Smads interact with and activate auto-ADP-ribosylation of both PARP-1 and PARP-2. PARP-2, similar to PARP-1, negatively regulates specific TGFbeta target genes (fibronectin, Smad7) and Smad transcriptional responses.	
9203	PARG-SMAD3 complex	Human	25133494	HEK293 cells	MI:0019:coimmunoprecipitation	2	Q86W56;P84022	PARG;SMAD3	61	61	15	46	GO:0005634;GO:0006355;GO:0010468;GO:0042127;GO:0051725;GO:0071559	nucleus;regulation of DNA-templated transcription;regulation of gene expression;regulation of cell population proliferation;protein de-ADP-ribosylation;response to transforming growth factor beta	cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	PARG interacts with Smads and can de-ADP-ribosylate Smad3 in vitro. TGFbeta induces formation of endogenous complexes between Smads and PARG in HEK293 cells. Interaction with PARG positively regulates specific TGFbeta target genes (fibronectin, Smad7) and Smad transcriptional responses.	
9227	AR-RUNX2 complex	Human	10521447	CV-1 cells	MI:0412:electrophoretic mobility supershift assay;MI:0413:electrophoretic mobility shift assay	2	P10275;Q13950	AR;RUNX2	107	107	23	84	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process		
9228	AR-JUN complex	Human	9211894	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay	2	P10275;P05412	AR;JUN	149	149	40	109	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Experiments have shown that the androgen receptor (AR) and JUN (c-Jun) each can inhibit the ability of the other to bind to its respective DNA-binding site in vitro.	
9230	AR-FOS complex	Human	9211894	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay	2	P10275;P01100	AR;FOS	119	119	28	91	GO:0005634;GO:0006355;GO:0071383	nucleus;regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process	Experiments have shown that the androgen receptor (AR) and FOS (c-Fos) each can inhibit the ability of the other to bind to its respective DNA-binding site in vitro.	
9231	AR-ATF2-JUN complex	Human	11518798	in vitro	MI:0059:gst pull down	3	P10275;P15336;P05412	AR;ATF2;JUN	151	151	40	111	GO:0005634;GO:0033574;GO:0045892;GO:0071383	nucleus;response to testosterone;negative regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Experiments show that the androgen receptor (AR) suppresses the activity of the alpha glycoprotein hormone subunit (alphaGSU) gene promoter by binding to heterodimers of JUN and ATF2 that occupy the tandem cAMP response elements (CREs).	
9238	PARP3-EZH2-HDAC1-SUZ12-YY1 complex	Human	16924674	HeLa cells	MI:0007:anti tag coimmunoprecipitation	5	Q15910;Q13547;Q9Y6F1;Q15022;P25490	EZH2;HDAC1;PARP3;SUZ12;YY1	211	211	73	138	GO:0003677;GO:0005634;GO:0006355	DNA binding;nucleus;regulation of DNA-templated transcription	molecular_function;cellular_component;biological_process	Polycomb group proteins form a complex with PARP-3 indicating that PARP-3 is a nuclear protein involved in transcriptional silencing.	
9242	AR-CEBPA complex	Human	16455820	RWPE-1 cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	P10275;P49715	AR;CEBPA	120	120	26	94	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	The androgen receptor (AR) can be efficiently coprecipitated with CEBPA (C/EBP alpha) in a ligand-dependent manner. CEBPA is recruited onto AR-target promoters with AR and is able to inhibit the expression of endogenous prostate-specific antigen in prostate cancer cells.	
9243	AR-NR0B1 complex	Human	12771131	LNCaP cells	MI:0019:coimmunoprecipitation	2	P10275;P51843	AR;NR0B1	109	109	24	85	GO:0005634;GO:0006355;GO:0071383	nucleus;regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process		
9245	AR-EGR1 complex	Human	12890669	DU145 cells; LNCaP cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	P10275;P18146	AR;EGR1	107	107	23	84	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	The interaction between EGR1 and the androgen receptor (AR) was strongest in cells treated with the androgen receptor agonist DHT (5alpha-dihydrotestosterone).	EGR1 expression enhances androgen-induced prostate-specific antigen (PSA) mRNA expression. A raised PSA level in blood can be a sign of prostate cancer.
9246	AR-ESR1 complex	Human	11000528		MI:0018:two hybrid	2	P10275;P03372	AR;ESR1	166	166	47	119	GO:0005634;GO:0006355;GO:0033574;GO:0043627;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;response to estrogen;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process;biological_process	In mammalian two-hybrid experiments, estradiol and the androgen receptor (AR) agonist metribolone increased interaction between AR and the estrogen receptor alpha (ESR1). When ESR1 is co-transfected with AR, a 35% decrease in glucocorticoid hormone activity was seen in the presence of both steroids compared to the cells treated with metribolone alone. When AR is co-transfected with ESR1, a 74% decrease in estrogen hormone activity was seen in the presence of both steroids compared to the cells treated with estrogen alone.	
9247	AR-FOXO1 complex	Human	12482965	DU145 cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down;MI:0413:electrophoretic mobility shift assay	2	P10275;Q12778	AR;FOXO1	114	114	26	88	GO:0005634;GO:0045892;GO:0071383	nucleus;negative regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process	Experiments show that the androgen receptor (AR) forms a complex with FOXO1 (FKHR) and that the active androgen receptor blocks the binding of FOXO1 to its DNA response elements, leading to suppression of FOXO1’s transcriptional activity and its ability to regulate Fas ligand expression and to induce apoptosis and cell cycle arrest of prostate cancer cells.	
9248	AR-FOXA1 complex	Human	12750453	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	P10275;P55317	AR;FOXA1	103	103	21	82	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Significant binding of each of FOXA1 to the androgen receptor (AR) binding regions was observed in ChIP assays in the absence of androgen while androgen did increase specific factor binding at specific sites.	
9250	AR-GATA2 complex	Human	12750453	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	P10275;P23769	AR;GATA2	107	107	24	83	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Significant binding of each of GATA2 to the AR binding regions was observed in ChIP assays in the absence of androgen while androgen did increase specific factor binding at specific sites.	
9251	AR-FOXH1 complex	Human	16120611	LNCaP cells; COS-7 cells	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0416:fluorescence microscopy	2	P10275;O75593	AR;FOXH1	102	102	21	81	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	FOXH1 represses both ligand-dependent and -independent transactivation of the androgen receptor (AR) in LNCaP cells. The interaction between FOXH1 and AR is not ligand-dependent.	
9256	AR-HOXB13 complex	Human	15604291	LNCaP cells	MI:0019:coimmunoprecipitation	2	P10275;Q92826	AR;HOXB13	101	101	20	81	GO:0001558;GO:0005634;GO:0006355;GO:0071383	regulation of cell growth;nucleus;regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	biological_process;cellular_component;biological_process;biological_process	HOXB13 suppresses the growth of androgen receptor (AR)-negative PC3 prostate cancer cells by the down-regulation of T-cell factor 4 (TCF-4) expression. Expression of HOXB13 is specific to prostate and colorectum. HOXB13 repressed about 50% of androgen-activated AR activity on a prostate specific antigen promoter (pGL-AREc-luc), whereas HOXB13 did not inhibit hormone-independent AR activity. Overexpression of HOXB13 inhibits cell growth.	
9259	AR-SP1 complex	Human	9324042	T47D cells	MI:0413:electrophoretic mobility shift assay	2	P10275;P08047	AR;SP1	162	162	49	113	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process		
9261	AR-SPDEF complex	Human	10625666	in vitro	MI:0059:gst pull down	2	P10275;O95238	AR;SPDEF	101	101	20	81	GO:0005634;GO:0033574;GO:0045893;GO:0071383	nucleus;response to testosterone;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	In the presence of both SPDEF and androgen, a significant synergistic effect of PSA promoter transactivation was observed leading to a 57-fold activation.	
9263	AR-RXRA complex	Human	15650026	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down;MI:0413:electrophoretic mobility shift assay	2	P10275;P19793	AR;RXRA	139	139	24	115	GO:0005634;GO:0006355;GO:0033574;GO:0071300;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to retinoic acid;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process;biological_process	RXRA functions as a repressor in the presence of 9-cis-retinoic acid (9cRA) to suppress androgen receptor (AR) target gene expression. In contrast, un-liganded RXRA can function as a weak coactivator to slightly enhance AR transactivation. On the other hand, the AR represses RXRA-mediated transactivation in a ligand-independent manner. Here, RXRA binding to the RXRA-response element (RXRE) is inhibited by the AR.	
9264	AR-SOX9 complex	Human	17234760	in vitro	MI:0059:gst pull down	2	P10275;P48436	AR;SOX9	106	106	23	83	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Results indicate that endogenous SOX9 enhances androgen receptor (AR) protein expression in prostate cancer cell lines through translational or posttranslational mechanisms.	
9265	AR-SRY complex	Human	11585838	in vitro	MI:0018:two hybrid;MI:0059:gst pull down	2	P10275;Q05066	AR;SRY	104	104	22	82	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	The interaction between the androgen receptor (AR) and SRY is mediated by a highly conserved zinc finger and HMG box DNA-binding domains (DBDs) and results in repression of AR transcriptional activity.	SRY represses endogenous PSA expression in prostate cancer cells.
9267	AR-NR2C1 complex	Human	12949936	PC-3 cells	MI:0018:two hybrid;MI:0059:gst pull down	2	P10275;P13056	AR;NR2C1	101	101	20	81	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	The suppression of androgen receptor (AR) mediated transactivation by NR2C1 (TR2) is not due to competition for the limited coregulator availability by these two receptors, but possibly through the interaction between NR2C1 and AR nuclear receptors.	
9268	AR-NR2C2 complex	Human	10611280	H1299 cells; in vitro	MI:0018:two hybrid;MI:0059:gst pull down;MI:0402:chromatin immunoprecipitation assay;MI:0416:fluorescence microscopy	2	P10275;P49116	AR;NR2C2	103	103	22	81	GO:0005634;GO:0006355;GO:0033574;GO:0071383	nucleus;regulation of DNA-templated transcription;response to testosterone;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	Experiments revealed bidirectional repression effects through the androgen receptor (AR) and NR2C2 (TR4) heterodimerization. NR2C2 represses AR-mediated transactivation specifically, as transcription activities of other nuclear hormone receptors such as glucocorticoid receptor and progesterone receptor are not affected.	
9273	AR-SETD7 complex	Human	21273441	LNCaP cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	P10275;Q8WTS6	AR;SETD7	110	110	21	89	GO:0004879;GO:0005634;GO:0005737;GO:0032870;GO:0045893	nuclear receptor activity;nucleus;cytoplasm;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	molecular_function;cellular_component;cellular_component;biological_process;biological_process		
9331	ESR1-TCF4 complex	Human	11522780	reticulocyte lysate	MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay	2	P03372;P15884	ESR1;TCF4	115	115	37	78	GO:0005634;GO:0006355;GO:0032870;GO:0043627	nucleus;regulation of DNA-templated transcription;cellular response to hormone stimulus;response to estrogen	cellular_component;biological_process;biological_process;biological_process	By using transient transfections of reporter constructs for the osteopontin and thymidine kinase promoters in rat mammary cells, it was shown that TCF4 antagonizes the effects of activated estrogen receptor/estradiol (E2).	
9333	ANP32A-ESR1 complex	Human	15308690	HeLa cells; MCF-7 cells	MI:0019:coimmunoprecipitation	2	P39687;P03372	ANP32A;ESR1	107	107	29	78	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process	ANP32A (pp32) substantially enhanced the association of the receptor with ERE (estrogen receptor element)-containing DNA and hormone further enhanced ERalpha-ERE complex formation. Increasing concentrations of the ANP32A expression vector elicited a dose-dependent reduction in 17beta-estradiol (E2)-mediated transcription.	
9334	ESR1-RBAK complex	Human	14664718	in vitro	MI:0004:affinity chromatography technology;MI:0018:two hybrid	2	P03372;Q9NYW8	ESR1;RBAK	105	105	29	76	GO:0005634;GO:0032870;GO:0043627	nucleus;cellular response to hormone stimulus;response to estrogen	cellular_component;biological_process;biological_process		
9337	ARID5A-ESR1 complex	Human	15941852	COS-7 cells	MI:0018:two hybrid;MI:0059:gst pull down	2	Q03989;P03372	ARID5A;ESR1	102	102	29	73	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process	ERS1 and ARID5A (MRF1) coimmunoprecipitate in an estradiol-independent manner, and recombinant ERS1 binds to both full-length and COOH-terminal MRF1 in the absence of estradiol.	
9341	ESR1-NCOA3 complex	Human	9252329	in vitro	MI:0059:gst pull down	2	P03372;Q9Y6Q9	ESR1;NCOA3	123	123	33	90	GO:0005634;GO:0032355;GO:0045893;GO:0071383	nucleus;response to estradiol;positive regulation of DNA-templated transcription;cellular response to steroid hormone stimulus	cellular_component;biological_process;biological_process;biological_process	ESR1 and NCOA2 bind in a ligand-dependent fashion.	Evaluation of 105 unselected specimens of primary breast cancer found NCOA3 amplification in approximately 10 percent and high expression in 64 percent of the primary tumors analyzed.
9343	ESR1-NCOA1 complex	Human	11178903	COS cells	MI:0059:gst pull down	2	P03372;Q15788	ESR1;NCOA1	133	133	38	95	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process		
9344	BRCA1-ESR1 complex	Human	11244506	MCF-7 cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	P38398;P03372	BRCA1;ESR1	147	147	43	104	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process	BRCA1 and ESR1 associate within the same protein complex, independent of estrogen.	
9351	ERBB4-ESR1 complex	Human	16912174	T47D cells	MI:0019:coimmunoprecipitation;MI:0059:gst pull down;MI:0416:fluorescence microscopy	2	Q15303;P03372	ERBB4;ESR1	105	105	29	76	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Estrogen induces nuclear translocation of the proteolytic processed ERBB4 intracellular domain (4ICD) and nuclear translocation of 4ICD requires functional ligand-bound ESR1. ERBB4 itself is an estrogen-inducible gene and the ERBB4 promoter harbors a consensus estrogen response element (ERE) half-site with overlapping activator protein-1 elements that bind ER and 4ICD in response to estrogen.	
9368	DNTTIP2-ESR1 complex	Human	15047147	MCF-7 cells	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	Q5QJE6;P03372	DNTTIP2;ESR1	105	105	30	75	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Unlike interaction in vitro, the interaction formation of the DNTTIP2-ESR1 complex in vivo is not affected by estrogen.	
9371	ESR1-NCOA6 complex	Human	31744881	Ishikawa cells	MI:0402:chromatin immunoprecipitation assay	2	P03372;Q14686	ESR1;NCOA6	122	122	30	92	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Formation of the ESR1-NCOA6 complex occurs in a ligand (E2)-dependent manner.	
9375	ESR1-PRMT2 complex	Human	12039952	COS-7 cells	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	P03372;P55345	ESR1;PRMT2	108	108	30	78	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	The presence of the ligand estrogen does not significantly affect the interaction between PRMT2 and estrogen receptor alpha (ESR1).	
9377	ESR1-SETD7 complex	Human	18471979	MCF-7 cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	P03372;Q8WTS6	ESR1;SETD7	109	109	30	79	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Results suggest that SETD7 regulates estrogen receptor alpha (ESR1) by methylating K302 and that the attenuated transcriptional response to estradiol (E2) in the absence of SETD7 results from destabilization of ESR1 protein and reduced occupancy of ESR1 at its target genes.	
9379	ESR1-NR1H4 complex	Human	24729004	Huh-7 cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay;MI:0809:bimolecular fluorescence complementation	2	P03372;Q96RI1	ESR1;NR1H4	106	106	30	76	GO:0005634;GO:0006355;GO:0032355;GO:0032870;GO:1903413	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus;cellular response to bile acid	cellular_component;biological_process;biological_process;biological_process;biological_process	Co-transfection of ESR1 significantly decreases basal as well as CDCA-mediated bile salt export pump (BSEP) transactivation. Estrogen (E2) further significantly decreases BSEP transactivation through a non-classical E2/estrogen receptor alpha (ESR1) transrepressive pathway, directly interacting with FXR (NR1H4).	BSEP is responsible for biliary secretion of bile acids, a rate limiting step in the enterohepatic circulation of bile acids and transactivated by nuclear receptor farnesoid x receptor (FXR). Intrahepatic cholestasis of pregnancy (ICP) is the most prevalent disorder among diseases unique to pregnancy and primarily occurs in the third trimester of pregnancy with a hallmark of elevated serum bile acids.
9381	ESR1-NCOA3-NCOR2 complex	Human	20392877	MCF-7 cells; HeLa cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	3	P03372;Q9Y6Q9;Q9Y618	ESR1;NCOA3;NCOR2	139	139	41	98	GO:0005634;GO:0032355;GO:0032870;GO:0045893	nucleus;response to estradiol;cellular response to hormone stimulus;positive regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Formation of the ESR1-NCOA3-NCOR2 complex is ligand-independent.	
9382	ASXL1-ESR1 complex	Human	16606617	MCF-7 cells	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	Q8IXJ9;P03372	ASXL1;ESR1	109	109	30	79	GO:0005634	nucleus	cellular_component	Formation of the ASXL1-ESR1 complex is ligand-dependent.	
9385	ESR1-MTA1 complex	Human	11146623	in vitro	MI:0059:gst pull down;MI:0416:fluorescence microscopy	2	P03372;Q13330	ESR1;MTA1	116	116	35	81	GO:0005634;GO:0032355;GO:0032870;GO:0045892	nucleus;response to estradiol;cellular response to hormone stimulus;negative regulation of DNA-templated transcription	cellular_component;biological_process;biological_process;biological_process	Metastatic-associated protein 1 (MTA1) is a gene product induced by heregulin-beta1 (HRG). HRG also promotes interaction of MTA1 with endogenous ESR1.	
9388	ESR2-TCF4 complex	Human	11522780	reticulocyte lysate	MI:0019:coimmunoprecipitation;MI:0413:electrophoretic mobility shift assay	2	Q92731;P15884	ESR2;TCF4	31	31	11	20	GO:0005634;GO:0006355;GO:0032870;GO:0043627	nucleus;regulation of DNA-templated transcription;cellular response to hormone stimulus;response to estrogen	cellular_component;biological_process;biological_process;biological_process	By using transient transfections of reporter constructs for the osteopontin and thymidine kinase promoters in rat mammary cells, it was shown that TCF4 antagonizes the effects of activated estrogen receptor ESR2.	
9389	ARID5A-ESR2 complex	Human	15941852	yeast	MI:0018:two hybrid;MI:2169:luminiscence technology	2	Q03989;Q92731	ARID5A;ESR2	16	16	3	13	GO:0005634;GO:0006355;GO:0032355;GO:0032870	nucleus;regulation of DNA-templated transcription;response to estradiol;cellular response to hormone stimulus	cellular_component;biological_process;biological_process;biological_process	ARID5A (MRF1) bound to ESR2 (estrogen receptor-beta) in a ligand-independent manner in the conducted assays. ARID5A co-expression with ESR2 led to a dose-dependent reduction of both ligand-independent and -dependent ESR2-mediated transactivation.	
9396	DNTTIP2-ESR2 complex	Human	15047147	in vitro	MI:0059:gst pull down	2	Q5QJE6;Q92731	DNTTIP2;ESR2	19	19	4	15	GO:0005634	nucleus	cellular_component	The interaction between DNTTIP2 and estrogen receptor beta (ESR2) is not affected by estrogen.	
9403	ESR2-PRMT2 complex	Human	12039952	in vitro	MI:0059:gst pull down	2	Q92731;P55345	ESR2;PRMT2	23	23	4	19	GO:0005634	nucleus	cellular_component	The presence of the ligand estrogen does not significantly affect the interaction between PRMT2 and estrogen receptor beta (ESR2).	
9405	NR1H4-PPARGC1A complex	Human	25675114	human liver tissue; Huh-7 cells	MI:0402:chromatin immunoprecipitation assay	2	Q96RI1;Q9UBK2	NR1H4;PPARGC1A	36	36	9	27	GO:0005634;GO:1903413	nucleus;cellular response to bile acid	cellular_component;biological_process	Upon FXR(NR1H4) activation by the ligand chenodiol (CDCA), PGC1 (PPARGC1A) recruitment is markedly in-creased. Data suggest that PPARGC1A is a dominant coactivator recruited to the FXRE (FXR response element) in BSEP promoter upon FXR activation.	
9407	NCOA1-NR1H4 complex	Human	14684751	in vitro	MI:0059:gst pull down;MI:0099:scintillation proximity assay	2	Q15788;Q96RI1	NCOA1;NR1H4	65	65	12	53	GO:0005634;GO:1903413	nucleus;cellular response to bile acid	cellular_component;biological_process	Formation of the NCOA1-NR1H4 complex is enhanced by the FXR agonist chenodiol (CDCA) but not by ursodiol (UDCA).	
9408	NR1H4-PRMT1 complex	Human	15911693	HepG2 cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay	2	Q96RI1;Q99873	NR1H4;PRMT1	30	30	6	24	GO:0005634;GO:0042054;GO:0045893;GO:1903413	nucleus;histone methyltransferase activity;positive regulation of DNA-templated transcription;cellular response to bile acid	cellular_component;molecular_function;biological_process;biological_process	FXR (NR1H4) activation with natural (CDCA) and synthetic (6-ECDCA) ligands cause formation of the NR1H4-PRMT1 complex. PRMT1 is also a coactivator of the FXR/RXR heterodimer.	
9409	NR1H4-RELA complex	Human	21499302	MCF-7 cells	MI:0019:coimmunoprecipitation;MI:0402:chromatin immunoprecipitation assay;MI:0413:electrophoretic mobility shift assay	2	Q96RI1;Q04206	NR1H4;RELA	77	77	18	59	GO:0005634;GO:0006355;GO:1903413	nucleus;regulation of DNA-templated transcription;cellular response to bile acid	cellular_component;biological_process;biological_process	The FXR (NR1H4) ligand chenodiol (CDCA) enhances formation of the NR1H4-RELA complex.	In this study, it was shown that activation of Farnesoid X Receptor (FXR; NR1H4), by the primary bile acid chenodeoxycholic acid (CDCA), inhibits growth of Tamoxifen-resistant breast cancer cells (MCF-7 cells).
9410	NR1H4-SETD7 complex	Human	22345554	Huh-7 cells	MI:0018:two hybrid;MI:0019:coimmunoprecipitation;MI:0059:gst pull down	2	Q96RI1;Q8WTS6	NR1H4;SETD7	24	24	2	22	GO:0005634;GO:0006355;GO:0140938;GO:1903413	nucleus;regulation of DNA-templated transcription;histone H3 methyltransferase activity;cellular response to bile acid	cellular_component;biological_process;molecular_function;biological_process	Results demonstrate that posttranslational methylation of FXR (NR1H4) by Set7/9 (SETD7) contributes to the transcriptional activation of FXR-target genes.	
9412	NR1H4-SREBF2 complex	Human	12917342	LS174T cells	MI:0059:gst pull down	2	Q96RI1;Q12772	NR1H4;SREBF2	24	24	5	19	GO:0005634;GO:0045892;GO:1903413	nucleus;negative regulation of DNA-templated transcription;cellular response to bile acid	cellular_component;biological_process;biological_process	Results suggest that SREBP2 negatively regulates the expression of FXR (HR1H4) target genes by suppressing FXR signaling.	
9414	NR1H4-SAFB complex	Human	16326836	in vitro	MI:0059:gst pull down	2	Q96RI1;Q15424	NR1H4;SAFB	22	22	5	17	GO:0005634;GO:0032870;GO:0045892	nucleus;cellular response to hormone stimulus;negative regulation of DNA-templated transcription	cellular_component;biological_process;biological_process	Formation of NR1H4-SAFB complex is enhanced by ligand. SAFB expression is decreased during 3T3-L1 mouse cell differentiation into adipocytes.	
9419	NR3C1-RBAK complex	Human	14664718	in vitro	MI:0004:affinity chromatography technology;MI:0018:two hybrid	2	P04150;Q9NYW8	NR3C1;RBAK	54	54	10	44	GO:0005634;GO:0032870;GO:0071385	nucleus;cellular response to hormone stimulus;cellular response to glucocorticoid stimulus	cellular_component;biological_process;biological_process		
9429	NCOA6-NR3C1 complex	Human	10866662	in vitro	MI:0018:two hybrid	2	Q14686;P04150	NCOA6;NR3C1	76	76	11	65	GO:0005634;GO:0045893;GO:0071385	nucleus;positive regulation of DNA-templated transcription;cellular response to glucocorticoid stimulus	cellular_component;biological_process;biological_process	Formation of the NCOA6-NR3C1 (glucocorticoid receptor) complex is ligand-dependent.	
9432	HDAC3-NCOR2-NR3C1 complex	Human	28475868	in vitro	MI:0402:chromatin immunoprecipitation assay	2	Q9Y618;P04150	NCOR2;NR3C1	91	91	20	71	GO:0005634;GO:0006355;GO:0071385	nucleus;regulation of DNA-templated transcription;cellular response to glucocorticoid stimulus	cellular_component;biological_process;biological_process	SUMOylation of the glucocorticoid receptor (NR3C1) is a prerequisite for the formation of a HDAC3-NCOR2-NR3C1 repressive complex.	
