complex_id	complex_name	organism	pmid	cell_line	purification_methods	n_subunits	subunit_ids	subunit_genes	n_ext_ppi_edges	n_ext_partners	n_ext_partners_pure	n_ext_partners_other_complex_subunit	go_ids	go_names	go_ontology	comment_complex	comment_disease
934	FACT-NEK9 complex	Human	14660563		MI:0006:anti bait coimmunoprecipitation	3	Q8TD19;Q08945;Q9Y5B9	NEK9;SSRP1;SUPT16H	39	39	18	21	GO:0000082;GO:0005634;GO:0006265;GO:0006354;GO:0006468;GO:0051276	G1/S transition of mitotic cell cycle;nucleus;DNA topological change;DNA-templated transcription elongation;protein phosphorylation;chromosome organization	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process	Nek9 forms a stable, approximately 600-kDa complex with FACT in the interphase nuclei.	
936	FACT complex	Human	10421373		MI:0006:anti bait coimmunoprecipitation	2	Q08945;Q9Y5B9	SSRP1;SUPT16H	38	38	17	21	GO:0005634;GO:0006265;GO:0006354;GO:0051276	nucleus;DNA topological change;DNA-templated transcription elongation;chromosome organization	cellular_component;biological_process;biological_process;biological_process	FACT (for facilitates chromatin transcription) is a chromatin-specific elongation factor required for transcription of chromatin templates in vitro.	
974	EED-EZH2 complex	Human	12351676		MI:0006:anti bait coimmunoprecipitation;MI:0071:molecular sieving;MI:0091:chromatography technology	5	Q6ZN18;O75530;Q15910;Q09028;Q15022	AEBP2;EED;EZH2;RBBP4;SUZ12	77	77	22	55	GO:0005634;GO:0006265;GO:0006479;GO:0032774;GO:0051276	nucleus;DNA topological change;protein methylation;RNA biosynthetic process;chromosome organization	cellular_component;biological_process;biological_process;biological_process;biological_process	The results support a model in which ESC-E(Z)-mediated H3-K27 methylation serves as a signal for the recruitment of the PRC1 complex by facilitating PC binding.	
996	Polycomb repressive complex 2/3	Human	15099518	HeLa cells	MI:0091:chromatography technology	5	O75530;Q15910;Q09028;Q16576;Q15022	EED;EZH2;RBBP4;RBBP7;SUZ12	92	92	30	62	GO:0005634;GO:0042054;GO:0045892;GO:0046976	nucleus;histone methyltransferase activity;negative regulation of DNA-templated transcription;histone H3K27 methyltransferase activity	cellular_component;molecular_function;biological_process;molecular_function	The PRC2 complex associates with all three EED isoforms, with the largest form of EED in highest abundance. The PRC3 complex associates with the two shorter isoforms of EED (Eed2/3). PRC3 complex preferentially methylates nucleosomal H3-lysine 27, whereas the PRC2 complex preferentially methylates nucleosomal H1-lysine 26.	
1133	ATR-HDAC2 complex	Human	10545197		MI:0004:affinity chromatography technology;MI:0019:coimmunoprecipitation	2	Q13535;Q92769	ATR;HDAC2	92	92	23	69	GO:0006265;GO:0006473;GO:0006476;GO:0051276	DNA topological change;protein acetylation;protein deacetylation;chromosome organization	biological_process;biological_process;biological_process;biological_process	The ATR-HDAC2 complex is a robust biochemical entity that withstands ammonium sulfate precipitation and anion exchange chromatography.	
1134	ATR-HDAC2-CHD4 complex	Human	10545197		MI:0019:coimmunoprecipitation;MI:0069:mass spectrometry studies of complexes	3	Q13535;Q14839;Q92769	ATR;CHD4;HDAC2	103	103	26	77	GO:0000075;GO:0005634;GO:0006265;GO:0006473;GO:0006476;GO:0006974;GO:0051276	cell cycle checkpoint signaling;nucleus;DNA topological change;protein acetylation;protein deacetylation;DNA damage response;chromosome organization	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	Other members of the NRD complex HDAC1, MTA-1, and MTA-2 are also detectable in ATR immunoprecipitates.	
1158	p33ING1b-p300 complex	Human	12015309		MI:0006:anti bait coimmunoprecipitation	2	Q09472;Q9UK53	EP300;ING1	142	142	58	84	GO:0000278;GO:0005694;GO:0006265;GO:0006473;GO:0051276;GO:0051726	mitotic cell cycle;chromosome;DNA topological change;protein acetylation;chromosome organization;regulation of cell cycle	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process	Anti-p300 immunoprecipitates contained p33ING1b, but not p47ING1a.	
1159	p33ING1b-HDAC1 complex	Human	12015309		MI:0006:anti bait coimmunoprecipitation	2	Q13547;Q9UK53	HDAC1;ING1	158	158	55	103	GO:0000278;GO:0005694;GO:0006265;GO:0006476;GO:0051276;GO:0051726	mitotic cell cycle;chromosome;DNA topological change;protein deacetylation;chromosome organization;regulation of cell cycle	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process	HDAC1 interacts as well with p33ING1b as with p47ING1a.	
1160	ING1-p300-PCNA complex	Human	12015309		MI:0006:anti bait coimmunoprecipitation	3	Q09472;Q9UK53;P12004	EP300;ING1;PCNA	159	159	70	89	GO:0000278;GO:0005694;GO:0006265;GO:0006281;GO:0006473;GO:0051276;GO:0051726	mitotic cell cycle;chromosome;DNA topological change;DNA repair;protein acetylation;chromosome organization;regulation of cell cycle	biological_process;cellular_component;biological_process;biological_process;biological_process;biological_process;biological_process	p33ING1b affects the degree of physical association between proliferating cell nuclear antigen (PCNA) and p300.	
1162	Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)	Human	16678110		MI:0071:molecular sieving;MI:0226:ion exchange chromatography	5	Q13619;Q13620;Q16531;Q92466;P62877	CUL4A;CUL4B;DDB1;DDB2;RBX1	41	41	14	27	GO:0000786;GO:0006511;GO:0006974;GO:0009314;GO:0016567	nucleosome;ubiquitin-dependent protein catabolic process;DNA damage response;response to radiation;protein ubiquitination	cellular_component;biological_process;biological_process;biological_process;biological_process	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The CUL4-DDB-ROC1 complex is a ubiquitin E3 ligase for histones H3 and H4. CUL4-DDB-ROC1-mediated H3 and H4 ubiquitylation was shown to facilitate cellular response to UV damage by affecting nucleosome stability.	
